date,open,high,low,close,adj_close,volume
6/10/2004,66.7437973,93.01000214,93.01000214,92.13999939,93.01000214,1702500
6/14/2004,65.68174744,91.52999878,92.15000153,90.63999939,92.15000153,3043300
6/15/2004,64.73452759,90.20999908,92.41000366,89.98000336,92.18000031,5510300
6/16/2004,64.5694809,89.98000336,90.98000336,89.38999939,90.48999786,4149900
6/17/2004,64.11024475,89.33999634,89.65000153,88.52999878,89.25,3500700
6/18/2004,63.99540329,89.18000031,90.25,88.69999695,89,3823000
6/21/2004,63.71552277,88.79000092,90,88.59999847,89.88999939,3217900
6/22/2004,65.01438904,90.59999847,91.16000366,87.68000031,88.34999847,8249500
6/23/2004,65.8181076,91.72000122,91.98999786,90.52999878,91,6149000
6/24/2004,66.87291718,93.19000244,94.16999817,91.75,92.25,5519100
6/25/2004,67.84893799,94.55000305,94.84999847,92.94000244,93.19999695,8047400
6/28/2004,66.92324066,93.26000214,95.15000153,92.80999756,95.15000153,4380100
6/29/2004,67.45422363,94,94.19999695,92.77999878,93,3359300
6/30/2004,67.56905365,94.16000366,94.84999847,93.55999756,94,4135600
7/1/2004,67.20308685,93.65000153,94.34999847,92.68000031,94.16999817,4569500
7/2/2004,67.17433929,93.61000061,93.97000122,92.5,93.84999847,3330600
7/6/2004,66.16255188,92.19999695,92.95999908,91.88999939,92.61000061,2603700
7/7/2004,64.99286652,90.56999969,91.80000305,90.41999817,91.59999847,4501900
7/8/2004,64.58384705,90,91.23000336,89.83000183,89.90000153,3493200
7/9/2004,64.61971283,90.05000305,90.98000336,90.01000214,90.69999695,2518900
7/12/2004,65.05744934,90.66000366,90.80000305,88.80000305,90.05000305,3509600
7/13/2004,64.84217834,90.36000061,90.84999847,89.19000244,90,3744000
7/14/2004,64.50488281,89.88999939,91.48000336,89.54000092,89.55999756,3447500
7/15/2004,63.38542175,88.33000183,90.20999908,88.11000061,90.19999695,3899700
7/16/2004,62.61046219,87.25,89.58000183,87.15000153,89.52999878,3562400
